City,Temperature,Humidity,Clouds,Windspeed,Latitude
Mīzan Teferī,22.09,47,100,0.9,6.9833
Touros,32.5,58,89,5.45,-5.1989
Novoanninskiy,0.87,96,100,4.32,50.5287
Bathsheba,28.34,69,40,8.23,13.2167
Lorengau,25.6,83,100,2.4,-2.0226
Honningsvåg,-3.11,73,63,3.75,70.9821
Tilichiki,-13.28,85,100,5.4,60.4667
Ambunti,22.46,95,100,0.61,-4.2365
Longyan,10.93,98,100,1.15,25.1072
Sainte-Marie,27.5,83,75,19.03,-20.8968
Sitka,0.94,86,100,2.06,57.0531
Djibouti,23.56,60,93,4.56,11.5
Paragominas,31.61,53,83,2.54,-2.9667
Fairbanks,-38.0,67,0,0.0,64.8378
Faya,17.29,67,48,2.4,18.3851
Bafoulabé,36.12,5,3,5.34,13.8065
Port Hardy,2.1,93,100,2.06,50.6996
Narsaq,-18.15,65,0,2.56,60.9167
Severnyy,-1.98,86,100,2.0,50.677
Kānt,13.71,59,30,2.97,27.8
Cherepovets,-6.1,86,100,0.0,59.1333
Los Llanos de Aridane,18.86,64,0,1.03,28.6585
Uyskoye,-9.15,93,72,2.46,54.3775
Pangnirtung,-16.0,78,100,6.17,66.1451
Pahrump,3.3,25,0,1.34,36.2083
Skagen,0.05,58,17,8.94,57.7209
Nogliki,-16.03,92,100,8.99,51.8333
Ténenkou,31.65,9,5,7.41,14.4572
Wasilla,-12.47,76,40,2.06,61.5814
Ust-Maya,-36.14,100,100,0.55,60.4167
Alpatovo,4.43,74,58,2.56,43.7028
Bambous Virieux,27.14,89,75,15.43,-20.3428
Berlevåg,-8.03,93,100,2.57,70.8578
Prince Rupert,2.05,100,100,7.2,54.3161
Usinsk,-9.17,96,100,4.22,65.9939
Tonstad,2.37,97,72,1.62,58.6626
Meridian,-6.89,88,0,0.45,43.6121
Yar-Sale,-23.36,94,96,4.58,66.8333
Tshikapa,23.26,93,68,2.67,-6.4167
Plácido de Castro,25.21,82,100,1.91,-10.3353
Makakilo City,20.2,78,0,2.06,21.3469
Maracaibo,31.19,51,63,2.11,10.6317
Pampa,-7.33,93,100,6.69,35.5362
Avera,10.22,76,100,3.72,33.194
Soria,18.81,27,0,0.92,41.6667
Victor Harbor,14.57,77,20,3.6,-35.5667
Tocopilla,22.5,68,5,4.14,-22.092
Cabra,22.04,30,0,1.46,37.4725
Ulaangom,-29.42,88,87,1.39,49.9811
Manokwari,25.26,84,100,2.53,-0.8667
Aklavik,-30.0,69,40,2.57,68.2191
Barra do Garças,30.32,70,40,2.49,-15.89
Rousse,4.47,68,100,2.66,43.8564
Waipawa,17.43,75,99,6.57,-41.4122
Ondangwa,37.0,16,0,1.54,-17.9167
Saiha,11.41,60,1,1.62,22.4833
Aksu,-2.72,45,95,2.19,41.1231
Palana,-9.08,88,100,6.59,59.1167
Redcar,11.06,56,100,2.68,54.6166
Caravelas,30.46,58,80,4.53,-17.7125
Cidreira,26.54,71,2,6.03,-30.1811
Kharian,12.43,53,55,1.26,32.8149
Itoman,19.01,94,75,6.69,26.1247
Auchi,36.12,12,18,1.37,7.0667
Xining,-9.72,66,38,0.97,36.6167
Ubinskoye,-19.14,100,92,2.17,55.3068
Songkhla,27.03,93,18,1.39,6.8333
Lebu,18.82,72,38,3.44,-37.6167
Oktyabr'skiy,-3.0,93,97,4.49,54.4815
Natal,31.12,66,40,7.72,-5.795
Kibre Mengist,20.58,34,100,1.23,5.8833
Niquero,26.39,63,7,3.42,20.0431
Orcopampa,12.72,51,83,1.32,-15.2661
Ancud,22.9,75,100,2.37,-41.8697
Mezen',-10.46,96,100,2.24,65.8522
Zhangjiakou,-10.88,60,0,2.69,40.81
Carlsbad,10.05,65,0,1.79,33.1581
Lagoa,14.7,72,1,5.75,39.05
Sidi Ali,15.98,45,0,1.15,36.0998
Sola,23.37,100,75,0.0,-13.8833
Kamaishi,-0.29,58,59,3.99,39.2667
Ambovombe,24.45,73,0,10.08,-25.1667
Te Anau,16.1,97,100,1.22,-45.4167
Nantucket,6.11,90,100,5.66,41.2835
Zhalantun,-20.81,84,17,3.51,48.0
Kudahuvadhoo,27.56,75,6,4.65,2.6708
Yekaterinoslavka,-28.98,100,51,2.57,50.3734
Porangatu,29.79,66,35,0.95,-13.4408
Cedar City,-7.0,56,18,8.75,37.6775
Verkhoyansk,-33.77,100,97,1.14,67.5447
Mogadishu,26.36,81,91,8.8,2.0371
Newry,11.0,84,100,4.41,54.1784
Mareeba,23.03,96,100,1.51,-17.0
Camacha,16.68,88,40,5.14,33.0833
São Gabriel da Cachoeira,28.89,79,20,1.03,-0.1303
Beloha,24.48,67,0,9.4,-25.1667
Kangāvar,0.71,67,0,0.77,34.5043
Shinjō,-1.2,79,86,4.89,38.7586
Bantacan,22.87,93,100,1.32,7.604
Aquiraz,31.05,66,75,3.99,-3.9014
Manta,24.88,88,100,1.03,-0.95
Aripuanã,29.4,68,80,1.41,-9.1667
College,-38.01,67,0,0.0,64.8569
Namatanai,25.3,84,100,1.98,-3.6667
Kavieng,26.4,82,100,5.36,-2.5744
Petatlán,27.22,50,0,0.65,17.5167
Mossamedes,24.88,61,96,6.53,-15.1961
Bosaso,24.51,69,62,3.63,11.2842
Bom Jesus,32.82,44,5,2.19,-9.0744
Kita,34.67,5,0,4.33,13.0349
Satānā,21.76,29,36,2.52,20.5833
Margate,11.12,74,92,0.89,51.3813
Souillac,27.21,89,75,15.43,-20.5167
Vetapālem,23.98,68,26,5.42,15.7833
Kavaratti,27.16,69,5,5.8,10.5669
Cururupu,29.17,69,100,3.19,-1.8283
Athabasca,-41.5,97,34,3.28,54.7169
Dekar,27.31,50,67,5.39,-21.5333
Lake Cowichan,-0.06,90,100,0.88,48.825
Vao,25.41,83,42,8.03,-22.6667
Belmonte,30.28,63,82,4.49,-15.8631
Hohhot,-9.84,48,0,4.0,40.8106
Plouzané,10.11,81,100,4.12,48.3833
Jaraguá,29.12,72,57,1.72,-15.7569
Waddān,12.69,43,91,9.18,29.1614
Bani Walid,11.46,65,84,10.12,31.7566
Omboué,26.7,77,76,2.91,-1.5746
Klaksvík,3.51,72,100,8.79,62.2266
Novopokrovka,-0.79,100,100,2.1,49.8425
Ciudad Bolivar,33.54,39,40,5.32,8.1222
Provideniya,-14.92,66,0,10.22,64.3833
Isla Mujeres,27.87,75,1,7.07,21.2311
Aksarka,-17.85,97,100,2.17,66.5606
Malinyi,25.17,86,22,1.54,-8.9333
Bandiagara,30.24,7,1,5.6,14.3501
Flinders,18.39,78,100,5.36,-34.5833
Tingi,20.15,91,89,1.7,-11.3
Tekeli,-9.55,62,62,4.17,44.83
Whithorn,25.59,51,1,1.97,18.2604
Mayor Pablo Lagerenza,37.72,29,44,2.75,-19.9309
Hofn,-0.99,80,40,1.03,64.2539
Vieux-Habitants,28.76,64,0,4.3,16.0589
Buford,7.34,65,100,2.24,34.1207
Kungurtug,-25.53,97,54,0.86,50.5994
Plettenberg Bay,21.64,97,100,4.41,-34.0527
Umluj,21.89,44,0,3.03,25.0213
Smoky Lake,-35.62,83,63,2.06,54.1169
Rundu,27.19,50,22,2.94,-17.9333
Kapoeta,33.86,22,94,2.87,4.7717
Kovdor,-15.96,98,100,1.07,67.5662
Merrill,-16.7,70,0,3.6,45.1805
Togur,-13.05,98,98,2.52,58.3631
Bereket,10.69,43,0,4.56,39.2446
Malanje,25.38,60,68,3.2,-9.5402
Port Augusta,14.28,52,0,8.01,-32.5
Vila Velha,26.64,79,20,4.12,-20.3297
Muscat,22.97,55,1,1.93,23.6139
Honiara,25.58,88,100,2.48,-9.4333
Saravan,-3.64,75,33,2.91,39.7196
Linköping,-4.37,74,0,2.06,58.4109
Tiarei,25.01,77,5,8.85,-17.5333
Marrakesh,26.04,18,0,3.09,31.6315
Baharly,10.67,36,0,3.36,38.4362
Ormara,23.08,34,0,10.98,25.2088
Havre-St-Pierre,-4.82,74,100,5.66,50.2334
Tiksi,-21.77,100,100,2.74,71.6872
Hambantota,25.19,88,20,2.57,6.1241
Oddur,29.79,30,68,5.32,4.1213
Eenhana,36.86,20,2,3.56,-17.4667
Neuquén,28.94,30,0,6.69,-38.9516
Syas'stroy,-9.75,97,100,1.3,60.1367
Cairns,25.56,89,75,1.54,-16.9167
Guerrero Negro,15.34,63,87,5.62,27.9769
Port Hawkesbury,-2.96,77,75,0.89,45.6169
Adrar,28.92,13,90,8.55,20.5022
Khvastovichi,-1.92,96,100,2.51,53.4694
Kardymovo,-4.89,96,100,2.84,54.8902
Alberdi,36.39,35,0,4.63,-32.8899
Kainantu,14.8,97,100,1.99,-6.2887
Bengkulu,24.88,85,94,2.35,-3.8004
Nampula,30.97,51,40,3.09,-15.1165
Evensk,-6.38,46,87,10.02,61.95
Zhangzhou,11.96,94,100,0.99,24.5133
Malibu,11.56,24,0,3.27,34.005
Kiryat Gat,15.78,42,100,1.67,31.61
Ivanteyevka,-2.87,96,100,2.37,55.9711
Sydney Mines,-3.0,71,40,2.68,46.2367
Mount Gambier,12.95,88,100,3.6,-37.8333
Shimoda,6.44,63,2,9.11,34.6667
Malé,28.97,79,75,5.14,4.1748
Vanimo,25.11,85,99,0.62,-2.6741
Natchez,17.72,94,100,0.0,31.5604
Sulangan,26.82,78,99,6.34,11.1373
Iquique,22.02,66,1,3.73,-20.2208
Olafsvik,0.33,55,71,6.31,64.8945
Champerico,28.41,60,0,1.89,14.3
Kaélé,31.31,12,5,3.13,10.1092
Simões,36.53,23,33,1.7,-7.5989
Seka,25.14,71,6,2.68,17.9285
Moose Factory,-19.01,60,75,7.72,51.2585
Bang Lamung,26.28,89,1,3.9,13.047
Vallenar,27.2,31,0,3.0,-28.5708
Jardim,31.34,51,100,1.57,-21.4803
Saint Anthony,-18.16,70,0,2.68,45.0205
Nome,-10.96,57,0,16.46,64.5011
Rio Grande,30.06,62,1,5.27,-32.035
Adré,26.63,15,0,4.41,13.4667
Walvis Bay,25.53,50,0,7.72,-22.9575
Broken Hill,16.84,45,0,5.66,-31.95
Rome,2.53,68,99,4.02,43.2128
Aranos,22.56,68,96,1.96,-24.1333
Ulety,-25.8,97,18,1.44,51.3572
Marsá Maţrūḩ,16.04,38,100,5.71,31.3525
Deputatsky,-25.37,96,99,2.14,69.3
Warrnambool,13.23,65,87,6.49,-38.3833
Heraclea,1.28,90,94,0.95,37.5133
Dawei,21.46,87,5,1.6,14.0833
Kulhudhuffushi,27.61,75,5,3.86,6.6221
Port Macquarie,21.9,94,100,3.6,-31.4333
Codrington,14.92,64,99,6.15,-38.2667
La Flèche,10.16,75,89,2.18,47.6982
Mattru,37.07,18,13,1.26,7.6244
Zheleznodorozhnyy,-3.44,91,100,2.81,55.7503
Muros,17.37,49,9,2.8,42.7762
Poum,26.33,75,1,5.43,-20.2333
Bloomington,-17.76,71,98,2.68,44.8408
Dudinka,-17.99,100,88,2.62,69.4058
Imeni Poliny Osipenko,-30.75,100,94,0.78,52.4201
Santa Cruz de la Sierra,31.03,62,20,5.66,-17.8
Nhulunbuy,26.34,89,100,4.63,-12.2333
Monte Aprazível,23.36,84,100,2.1,-20.7725
Moba,-2.88,76,100,1.55,33.2288
Paraná,36.93,33,42,5.02,-31.732
Gurupi,30.04,64,10,1.68,-11.7292
Polunochnoye,-10.93,99,100,0.81,60.8697
Bonnyville,-36.88,100,48,1.89,54.2668
Nicoya,26.75,40,3,1.88,10.1483
Buckingham,10.31,83,100,3.87,51.9997
Karema,23.15,81,99,2.25,-6.8205
São Manuel,21.71,91,100,2.43,-22.7311
Bandarbeyla,24.7,70,74,8.29,9.4942
Airai,15.99,88,78,0.96,-8.9266
Joshīmath,5.08,84,94,0.32,30.5667
Phan Thiet,23.13,88,73,4.06,10.9333
Yining,2.23,99,100,0.47,29.0361
Alindao,34.65,17,11,1.11,5.0267
Muriwai Beach,20.34,86,100,4.15,-36.8167
Usakos,29.0,25,1,7.38,-22.0
Bundaberg,24.56,94,100,2.06,-24.85
Portland,4.31,94,100,1.79,45.5234
Santos Dumont,26.54,81,100,1.16,-21.4567
Manakara,24.77,76,40,4.03,-22.1333
Hīt,12.43,43,7,3.09,33.6416
Shimonoseki,4.3,61,75,2.57,33.95
Akhisar,11.97,86,100,3.31,38.9185
Tabas,9.84,42,0,0.4,33.5959
Vostok,-20.44,99,100,1.65,46.4856
Port Shepstone,26.93,83,100,9.58,-30.7414
Itagibá,32.61,44,21,1.55,-14.2836
Gemena,31.28,24,71,0.72,3.25
Esim,29.35,65,70,5.45,4.8699
Digha,21.99,68,0,3.69,21.6833
Ponazyrevo,-4.68,95,100,3.8,58.3578
Zacatepec,26.35,36,0,0.52,18.65
El Jícaro,25.74,47,0,0.82,14.9167
Elvas,19.25,37,3,1.14,38.8815
Ijuí,35.01,15,2,1.59,-28.3878
Ossora,-6.49,84,100,6.04,59.2353
Campoverde,25.83,40,99,1.02,-8.4753
Tambovka,-17.94,97,38,2.57,50.0969
Espinho,17.45,55,0,4.12,41.0076
Riyadh,17.08,28,0,3.92,24.6877
Comodoro Rivadavia,23.92,31,0,5.66,-45.8667
Sorokino,-14.58,97,100,0.21,53.75
Klyuchi,-18.13,100,72,1.37,52.2667
Maceió,32.69,55,75,7.2,-9.6658
Laas,4.87,95,100,3.74,46.6166
Oranjemund,20.85,80,67,4.9,-28.55
Nidzica,-0.23,94,100,4.94,53.3605
Tateyama,5.59,58,81,2.73,34.9833
Alakurtti,-11.87,95,100,2.02,66.9672
Manono,23.01,95,100,1.46,-7.3
Álamos,12.31,72,100,2.04,27.0167
Kapit,22.77,98,71,0.61,2.0167
Develi,4.64,90,97,5.69,38.3906
Salalah,22.69,58,2,1.3,17.0151
Kindu,23.79,83,100,0.81,-2.95
Atar,35.03,14,100,10.29,20.5169
Arona,17.09,69,99,2.68,28.0996
Saint George,0.68,36,0,1.79,37.1041
San Jose,9.43,37,0,1.34,37.3394
Sisimiut,-17.93,83,95,7.47,66.9395
Gladstone,26.96,83,100,2.57,-23.85
Aykhal,-29.28,100,6,1.3,66.0
Coari,28.31,80,86,2.24,-4.085
Tūkrah,12.21,70,86,6.75,32.5341
Coquimbo,18.85,77,75,3.6,-29.9533
